date,usage
2023-01-01,113
2023-01-02,110
2023-01-03,109
2023-01-04,117
2023-01-05,132
2023-01-06,113
2023-01-07,124
2023-01-08,126
2023-01-09,124
2023-01-10,131
2023-01-11,137
2023-01-12,139
2023-01-13,121
2023-01-14,115
2023-01-15,128
2023-01-16,110
2023-01-17,112
2023-01-18,110
2023-01-19,117
2023-01-20,130
2023-01-21,116
2023-01-22,141
2023-01-23,129
2023-01-24,123
2023-01-25,128
2023-01-26,115
2023-01-27,108
2023-01-28,119
2023-01-29,121
2023-01-30,135
2023-01-31,131
2023-02-01,134
2023-02-02,137
2023-02-03,133
2023-02-04,130
2023-02-05,125
2023-02-06,114
2023-02-07,139
2023-02-08,137
2023-02-09,122
2023-02-10,142
2023-02-11,124
2023-02-12,127
2023-02-13,151
2023-02-14,158
2023-02-15,122
2023-02-16,147
2023-02-17,145
2023-02-18,140
2023-02-19,125
2023-02-20,158
2023-02-21,123
2023-02-22,153
2023-02-23,142
2023-02-24,155
2023-02-25,159
2023-02-26,130
2023-02-27,128
2023-02-28,118
2023-03-01,132
2023-03-02,117
2023-03-03,139
2023-03-04,132
2023-03-05,154
2023-03-06,130
2023-03-07,153
2023-03-08,155
2023-03-09,162
2023-03-10,149
2023-03-11,139
2023-03-12,150
2023-03-13,138
2023-03-14,132
2023-03-15,137
2023-03-16,135
2023-03-17,115
2023-03-18,139
2023-03-19,153
2023-03-20,140
2023-03-21,166
2023-03-22,148
2023-03-23,167
2023-03-24,147
2023-03-25,136
2023-03-26,135
2023-03-27,155
2023-03-28,143
2023-03-29,152
2023-03-30,157
2023-03-31,136
2023-04-01,150
2023-04-02,139
2023-04-03,161
2023-04-04,153
2023-04-05,130
2023-04-06,144
2023-04-07,156
2023-04-08,130
2023-04-09,155
2023-04-10,163
